"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1882345081002451272","Thu Jan 23 09:10:51 +0000 2025","0","@VisTheDragon Halah halah doktif padahal kan DRL","1882355302949097866","","VisTheDragon","in","Makassar","0","0","0","https://x.com/zeemangatt/status/1882355302949097866","1682955334896472064","zeemangatt"
"1881600115091063041","Tue Jan 21 07:10:00 +0000 2025","0","Doktif Laporkan Kasus Pelanggaran Kode Etik yang Diduga Dilakukan DRL #NewsRCTIPlus @RCTIPlus https://t.co/n65WDw3rAp","1881600115091063041","","","in","Jakarta Capital Region","0","0","0","https://x.com/RCTIPlus/status/1881600115091063041","1120911893663629312","RCTIPlus"
"1880827613633036781","Tue Jan 21 05:11:16 +0000 2025","0","@tanyarlfes Klinik Athena itu milik dRL kan? dRL bukankah sedang ada masalah juga sama doktif? Btw bukankah dRL juga wajahnya bopeng ?","1881570232722149488","","tanyarlfes","in","Bogor","0","0","0","https://x.com/rurisetiowati/status/1881570232722149488","291991157","rurisetiowati"
"1881387917962350740","Mon Jan 20 17:06:48 +0000 2025","0","gw itu sudah lama curiga bahwa si drl itu orangnya brengsek eh ternyata kecurigaan gw benar si drl emang brengsek. terima kasih doktif sudah membongkar banyak kebusukan si drl.","1881387917962350740","","","in","","0","0","0","https://x.com/FafaganFatagan/status/1881387917962350740","1702574302405758976","FafaganFatagan"
"1881387463656243590","Mon Jan 20 17:05:00 +0000 2025","0","kyaknya si ss ini kurang paham atau dia emg gak punya malu atau emg gak punya pikiran kalau doktif yg selalu dia bilang pngen jatuhin bisnis dia itu alasannya apa? bknnya emg krn dia gak berbenah yaa? sama kyak drl kmren dan si dr g itu. dikasih tau malah tantrum","1881387463656243590","","","in","🇹🇭🇨🇳🇰🇷","0","1","0","https://x.com/keensvj/status/1881387463656243590","1145316629489709056","keensvj"
"1880866624497975613","Mon Jan 20 11:15:03 +0000 2025","0","@GhaziAgusdina @anggiangger23 @DiSyihab99604 @butterjeje @wsnkrn @tanyarlfes Ss kak drl skrg dah aga mereda tp skrg naik lg grgr dokter di kliniknya yg di makassar bikin huru hara tentang doktif yg bopeng karna dulu sibuk nanganin pasien covid pokoknya tt lg banyak bgt masalahnya wkwk tp seru","1881299396215894357","","GhaziAgusdina","in","","0","0","0","https://x.com/yaraseuh/status/1881299396215894357","1544905835805310976","yaraseuh"
"1880866624497975613","Mon Jan 20 06:06:20 +0000 2025","0","@tanyarlfes Honestly ya dr doktif gue tau kalo ada produk yg overclaim2 gitu. Dan produk yg gak terkenal dan di pandang sebelah mata malah sesuai claim. Harusnya kan seblm muncul DRL dan Doktif ini tugasnya BPOM kan ya menurut gue. Walaupun skrg gue liat doi mulai keluar jalur.","1881221706867724569","","tanyarlfes","in","Indonesia","0","0","0","https://x.com/Tedmon1000L/status/1881221706867724569","1325695686596202498","Tedmon1000L"
"1880827613633036781","Mon Jan 20 04:07:53 +0000 2025","17","@momtween @tanyarlfes Iya dokter Ayman juga udah bilang kalo gak setuju dengan statement bopeng karena copid kasih penjelasan ilmiahnya apalagi dia seorang dokter. Tapi gak kaget sih dia kerja dibawah naungan DRL yg mana bermasalah sama doktif juga ya udah waktunya nyerang juga ","1881191896946749451","","momtween","in","Jawa Timur, Indonesia","0","1","0","https://x.com/Matchacheese_99/status/1881191896946749451","1230281854869106688","Matchacheese_99"
"1880387686399373339","Mon Jan 20 02:02:50 +0000 2025","0","@Rev_EunWoo25 @999o7i tp dia di spill kan ga tbtb neng dia kena serang kan awalnya semua skincare dia overclaim (sekelas dokter loh) terus drl malah nyerang doktif ke arah personal bkn ttg skincare doktif nyerang balik dong nonton dlu aja semuanya nanti jg paham","1881160428115636506","","Rev_EunWoo25","in","","0","0","0","https://x.com/ordinaryykidd/status/1881160428115636506","1015634189410971649","ordinaryykidd"
"1881043759623967146","Sun Jan 19 18:19:15 +0000 2025","1","Ini perusahaan aga laen njr belom jg kelar kasus ownerny DRL vs Doktif lah ini lagi ternakny athena lepas kandang ada aja anjr tingkahny mna ngaku ngaku nakes covid tp kg ada buktinya hade https://t.co/1wcTH8QLw4","1881043759623967146","https://pbs.twimg.com/media/GhrPVJ3bcAAxRby.jpg","","in","","0","0","0","https://x.com/rindari96517476/status/1881043759623967146","1570274129026383872","rindari96517476"
